Province_State,Country_Region,Lat,Long,Month,TrendlineCoef,Cluster
Morocco,Morocco,31.7917,-7.0926,9,2103.236083984375,1
Netherlands,Netherlands,52.1326,5.2913,9,1760.81005859375,1
Chile,Chile,-35.6751,-71.543,9,1697.321044921875,1
Bangladesh,Bangladesh,23.685,90.3563,9,1644.876708984375,1
Turkey,Turkey,38.9637,35.2433,9,1641.5706787109375,1
Czechia,Czechia,49.8175,15.473,9,1637.5552978515625,1
Germany,Germany,51.165691,10.451526,9,1584.042724609375,1
South Africa,South Africa,-30.5595,22.9375,9,1576.505615234375,1
Italy,Italy,41.87194,12.56738,9,1521.859130859375,1
Romania,Romania,45.9432,24.9668,9,1311.049560546875,1
Nepal,Nepal,28.1667,84.25,9,1288.4822998046875,1
Costa Rica,Costa Rica,9.7489,-83.7534,9,1178.830078125,1
Belgium,Belgium,50.8333,4.469936,9,1165.95751953125,1
